x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
2.000000,-2.000000,0.000000,2.000000,-2.000000,0.000000,0.000000
2.000000,-2.000000,0.000000,2.000000,-2.000000,0.000000,0.000000
2.000000,-2.000000,-0.000000,2.000000,-2.000000,0.000000,0.000000
2.003091,-2.000000,-0.000101,2.002104,-2.002127,-0.000097,0.002345
2.003091,-2.000000,-0.000101,2.002104,-2.002127,-0.000097,0.002345
2.003091,-2.000000,-0.000101,2.002104,-2.002127,-0.000097,0.002345
2.003091,-2.000000,-0.000101,2.002104,-2.002127,-0.000097,0.002345
2.003091,-2.000000,-0.000101,2.002104,-2.002127,-0.000097,0.002345
2.003091,-2.000000,-0.000101,2.002104,-2.002127,-0.000097,0.002345
2.003091,-2.000000,-0.000101,2.002104,-2.002127,-0.000097,0.002345
2.118748,-2.000032,-0.000448,2.077075,-2.077994,-0.000419,0.088401
2.118748,-2.000032,-0.000448,2.077075,-2.077994,-0.000419,0.088401
2.118748,-2.000032,-0.000448,2.077075,-2.077994,-0.000419,0.088401
2.118748,-2.000032,-0.000448,2.077075,-2.077994,-0.000419,0.088401
2.118748,-2.000032,-0.000448,2.077075,-2.077994,-0.000419,0.088401
2.118748,-2.000032,-0.000448,2.077075,-2.077994,-0.000419,0.088401
2.118748,-2.000032,-0.000448,2.077075,-2.077994,-0.000419,0.088401
2.253119,-2.000100,-0.000560,2.167030,-2.169045,-0.000525,0.189615
2.253119,-2.000100,-0.000560,2.167030,-2.169045,-0.000525,0.189615
2.253119,-2.000100,-0.000560,2.167030,-2.169045,-0.000525,0.189615
2.253119,-2.000100,-0.000560,2.167030,-2.169045,-0.000525,0.189615
2.253119,-2.000100,-0.000560,2.167030,-2.169045,-0.000525,0.189615
2.253119,-2.000100,-0.000560,2.167030,-2.169045,-0.000525,0.189615
2.253119,-2.000100,-0.000560,2.167030,-2.169045,-0.000525,0.189615
2.331735,-1.998124,0.050808,2.218805,-2.221387,0.044849,0.250199
2.331735,-1.998124,0.050808,2.218805,-2.221387,0.044849,0.250199
