x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
2.000000,-2.000000,0.000000,2.000000,-2.000000,0.000000,0.000000
2.000000,-2.000000,0.000000,2.000000,-2.000000,0.000000,0.000000
2.000000,-2.000000,0.000000,2.000000,-2.000000,0.000000,0.000000
2.000000,-2.000000,0.000000,2.000000,-2.000000,0.000000,0.000000
2.000000,-2.000000,0.000000,2.000000,-2.000000,0.000000,0.000000
2.000000,-2.000000,0.000000,2.000000,-2.000000,0.000000,0.000000
2.000000,-2.000000,0.000000,2.000000,-2.000000,-0.000000,0.000000
2.000000,-2.000000,-0.000000,2.000000,-2.000000,-0.000000,0.000000
2.000017,-2.000000,0.000000,2.000021,-2.000000,-0.000000,0.000004
2.000087,-2.000000,0.000000,2.000098,-2.000000,0.000000,0.000011
2.000239,-2.000000,0.000000,2.000259,-2.000000,0.000000,0.000021
2.000239,-2.000000,0.000000,2.000259,-2.000000,0.000000,0.000021
2.000239,-2.000000,0.000000,2.000259,-2.000000,0.000000,0.000021
2.000239,-2.000000,0.000000,2.000259,-2.000000,0.000000,0.000021
2.000239,-2.000000,0.000000,2.000259,-2.000000,0.000000,0.000021
2.000239,-2.000000,0.000000,2.000259,-2.000000,0.000000,0.000021
2.000239,-2.000000,0.000000,2.000259,-2.000000,0.000000,0.000021
2.006450,-2.000000,0.000000,2.006593,-2.000000,0.000000,0.000143
2.007945,-2.000000,0.000000,2.008102,-2.000000,0.000000,0.000157
2.009565,-2.000000,0.000000,2.009732,-2.000000,0.000000,0.000167
2.009565,-2.000000,0.000000,2.009732,-2.000000,0.000000,0.000167
2.009565,-2.000000,0.000000,2.009732,-2.000000,0.000000,0.000167
2.009565,-2.000000,0.000000,2.009732,-2.000000,0.000000,0.000167
2.009565,-2.000000,0.000000,2.009732,-2.000000,0.000000,0.000167
2.009565,-2.000000,0.000000,2.009732,-2.000000,0.000000,0.000167
2.009565,-2.000000,0.000000,2.009732,-2.000000,0.000000,0.000167
2.023265,-1.999992,0.001182,2.023400,-1.999998,0.001241,0.000136
