x_est,y_est,th_est,x_gt,y_gt,th_gt,pos_err
2.000000,-2.000000,0.000000,3.204327,-3.209803,1.237709,1.707052
2.000000,-2.000000,-0.000000,3.204327,-3.209803,1.237709,1.707052
2.002914,-2.000000,-0.000076,3.204327,-3.209803,1.237709,1.704997
2.013459,-2.000002,-0.000234,3.205641,-3.206003,1.237611,1.695800
2.043316,-2.000012,-0.000467,3.214010,-3.181834,1.237330,1.663498
2.079637,-2.000030,-0.000513,3.219893,-3.164853,1.237222,1.630030
2.116880,-2.000048,-0.000449,3.230530,-3.134161,1.237197,1.589474
2.154176,-2.000063,-0.000373,3.245438,-3.091139,1.237277,1.543145
2.191474,-2.000076,-0.000296,3.250864,-3.075476,1.237311,1.509567
2.228772,-2.000085,-0.000219,3.272565,-3.012820,1.237448,1.454350
2.266071,-2.000092,-0.000142,3.275277,-3.004988,1.237465,1.424188
2.307513,-2.000096,-0.000056,3.298323,-2.938412,1.237611,1.364603
2.343734,-2.000072,0.001379,3.311865,-2.899280,1.237740,1.321307
2.371683,-1.999793,0.018605,3.322097,-2.869426,1.244901,1.288234
2.381672,-1.999462,0.047612,3.324496,-2.862118,1.251102,1.277925
2.386186,-1.999174,0.080089,3.329223,-2.845887,1.305335,1.267376
2.398504,-1.998090,0.095320,3.330278,-2.842112,1.322596,1.257210
2.424449,-1.995583,0.097343,3.332851,-2.831829,1.333124,1.234707
2.464341,-1.991687,0.097380,3.344517,-2.783315,1.335114,1.183802
2.505545,-1.987660,0.097472,3.354151,-2.743195,1.335189,1.136206
2.546801,-1.983624,0.097575,3.356085,-2.735136,1.335208,1.104406
2.583934,-1.979987,0.097669,3.367693,-2.686767,1.335332,1.055375
2.625192,-1.975943,0.097772,3.381229,-2.630330,1.335477,0.999908
2.633443,-1.975133,0.097793,3.387028,-2.606142,1.335539,0.982885
2.682952,-1.970273,0.097918,3.394757,-2.573891,1.335622,0.933285
2.719008,-1.966705,0.099365,3.399586,-2.553734,1.335674,0.898771
2.744791,-1.963946,0.113847,3.411677,-2.502879,1.342939,0.857429
2.757279,-1.962292,0.149402,3.415570,-2.484747,1.368344,0.840420
2.760025,-1.961841,0.176592,3.416354,-2.480311,1.387424,0.836409
2.771395,-1.959699,0.195749,3.416886,-2.476975,1.416981,0.827183
2.795416,-1.954900,0.198617,3.418462,-2.466278,1.433569,0.806035
2.830179,-1.947902,0.198670,3.424355,-2.422845,1.436418,0.760668
2.866667,-1.940555,0.198761,3.427644,-2.398512,1.436453,0.724169
2.905673,-1.932695,0.198941,3.434295,-2.349282,1.436589,0.673043
2.929739,-1.927839,0.199270,3.438516,-2.317998,1.436849,0.641154
2.940856,-1.925592,0.199577,3.440345,-2.304419,1.437078,0.626897
2.945604,-1.924631,0.199720,3.441930,-2.292623,1.437422,0.617865
2.948849,-1.923974,0.199785,3.442233,-2.290362,1.437486,0.614547
2.951524,-1.923432,0.199836,3.442882,-2.285523,1.437579,0.610362
